id,latitude,longitude,photo_url,access,amenity,armrest,backrest,bench:type,capacity,check_date,circumference,colour,denotation,description,direction,ele,ele:ellipsoid,ele:geoid,fixme,genus,height,highway,image,indoor,inscription,lamp_mount,layer,leaf_cycle,leaf_type,level,light:count,light:lit,light:shape,lit,location,mapillary,mapillary:SW,mapillary:W,material,name,name:cs,name:en,natural,note,note:ele,outdoor_seating,panoramax,ref,seats,shelter,sides,source,source:amenity,source:position,species,species:wikidata,start_date,support,survey,survey:date,two_sided
139254447,48.8377213,2.3123754,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376059378,48.8496470,2.3599459,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376059386,48.8495349,2.3601438,,,bench,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426122558,48.8324194,2.3618921,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432726458,48.8318936,2.3563011,,,bench,,no,,,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,,,,,,,,,,
432726460,48.8318474,2.3563623,,,bench,,no,,,2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,,,,,,,,,,
432726463,48.8315201,2.3566036,,,bench,,no,,,2022-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,,,,,,,,,,
843477414,48.8697412,2.3069468,,,bench,,yes,,,2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
843477415,48.8701257,2.3073263,,,bench,,yes,,,2022-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
843477425,48.8694849,2.3077729,,,bench,,yes,,,2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
843477434,48.8696809,2.3071292,,,bench,,yes,,,2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
918240815,48.8671567,2.3104167,,,bench,,yes,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
918240927,48.8674916,2.3104095,,,bench,,yes,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
918240978,48.8653971,2.3105177,,,bench,,yes,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
918241040,48.8656474,2.3104264,,,bench,,yes,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
929243163,48.8331348,2.3262044,,,bench,,yes,,,,,#4b6142,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,10,,,,,,,,,,,,
976122872,48.8270451,2.2344709,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
976122906,48.8269732,2.2343944,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,
1015337925,48.8790979,2.3742637,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110914489,48.8501851,2.3441400,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110914597,48.8501064,2.3439584,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110914682,48.8501420,2.3442781,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110914760,48.8500824,2.3439575,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110914798,48.8500590,2.3439601,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110914915,48.8501766,2.3441803,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114192746,48.8718579,2.3184821,,,bench,,no,,,2024-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114192927,48.8718922,2.3185257,,,bench,,no,,,2024-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114193119,48.8719013,2.3184579,,,bench,,no,,,2024-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125739647,48.8433085,2.3563833,,,bench,,yes,,,2023-04-29,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1125739666,48.8437841,2.3555072,,,bench,,yes,,,2022-09-16,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1125739723,48.8437051,2.3566199,,,bench,,yes,,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1125739850,48.8433150,2.3563738,,,bench,,yes,,,2023-04-29,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1125740032,48.8437851,2.3554321,,,bench,,yes,,,2022-09-16,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1125740413,48.8436817,2.3566468,,,bench,,yes,,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1125740416,48.8437841,2.3554689,,,bench,,yes,,,2022-09-16,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,
1130252511,48.8460712,2.3400150,,,bench,,yes,,,2023-04-23,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
